Mesocosm ID,Treatment,# individual invertebrates,# of invertebrate families,# individual aquatic invertberates,# of individual terrestrial invertebrates,# Caenidae (A),# Hydropsychidae (B),# Chironomidae (C) ,# Ceratopogonidae (D),# Tabanidae (E),# Sciomyzidae (F),# Baetidae (G),# Culicidae (H),# Ephydridae (I),# Corixidae (J),# Empididae (K),# Notonectidae (L),# Limnephilidae (M),# Tipulidae (N),# Haliplidae (O),# Coenagrionidae (P),# Hydroptilidae (Q),# Helodidae (R),# Hydrophilidae (S),# Phryganeidae (T) ,# Polycentropodidae (U),# Leptoceridae (V) ,# Cosmopterygidae (a),# Aphidae (b),# Dolichopodidae (c) ,# Tetragnathidae (d) ,# Muscidae (e) ,# Delphacidae (f),# Chrysomelidae (g) ,# Agromyzidae (h) ,# Mymaridae (i) ,# Araneidae (j) ,# Formicidae (k) ,# Cicadellidae (l),# Noctuidae (m) ,# Acrididae (n) 
1,ALAN,253,13,240,13,203,3,25,0,0,0,0,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,4,0,0,0,0,0,0,0
2,no ALAN,22,7,14,8,9,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,2,0,0,1,0,0,0,0
3,ALAN,161,9,154,7,119,0,27,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0
4,ALAN,314,11,307,7,247,0,56,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,1,0,1,0,0,1,0,0,0,0
5,no ALAN,17,4,12,5,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
6,no ALAN,27,6,24,3,14,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
7,ALAN,179,8,172,7,146,0,20,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0
8,no ALAN,27,8,20,7,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0
9,ALAN,190,8,189,1,150,0,29,3,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,no ALAN,14,9,9,5,3,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0
11,ALAN,39,11,32,7,22,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0
12,no ALAN,46,7,44,2,35,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
13,ALAN,144,9,136,8,111,0,22,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,1
14,ALAN,36,8,34,2,25,1,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
15,no ALAN,34,8,32,2,23,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16,no ALAN,36,7,34,2,23,0,8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
17,no ALAN,21,6,16,5,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
18,ALAN,186,11,183,3,160,0,13,2,0,0,2,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
19,ALAN,196,9,190,6,159,0,25,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0
20,no ALAN,50,12,42,8,24,0,9,0,0,0,2,1,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,5,0,0,0,1,0,0,0,0,0,1,0
