Treatment,Tetragnathid sex,Individual Body Mass (mg)
ALAN,F,23.283
ALAN,M,4.63
ALAN,M,10.589
no ALAN,F,6.568
no ALAN,F,3.829
no ALAN,M,5.435
ALAN,F,17.834
ALAN,F,9.526
ALAN,M,7.877
ALAN,F,22.055
ALAN,M,8.075
ALAN,M,10.541
no ALAN,F,21.077
no ALAN,F,4.621
no ALAN,M,5.517
no ALAN,F,3.297
no ALAN,F,5.832
no ALAN,M,7.442
ALAN,F,22.247
ALAN,F,10.919
ALAN,M,10.933
no ALAN,F,16.996
no ALAN,M,7.459
no ALAN,M,7.004
ALAN,F,22.486
ALAN,F,10.584
ALAN,M,10.718
no ALAN,F,10.8
no ALAN,F,3.356
no ALAN,M,2.532
ALAN,F,18.693
ALAN,M,8.394
ALAN,M,3.341
no ALAN,F,15.363
no ALAN,F,5.951
no ALAN,F,2.895
ALAN,F,23.998
ALAN,F,5.756
ALAN,M,5.126
ALAN,F,21.891
ALAN,M,8.478
ALAN,M,8.994
no ALAN,F,15.173
no ALAN,F,10.441
no ALAN,M,4.425
no ALAN,F,10.333
no ALAN,M,5.414
no ALAN,M,7.597
no ALAN,F,14.646
no ALAN,F,14.523
no ALAN,F,15.025
ALAN,F,24.488
ALAN,F,27.954
ALAN,M,6.359
ALAN,F,17.524
ALAN,M,5.51
ALAN,M,7.042
no ALAN,F,11.146
no ALAN,F,6.575
no ALAN,F,10.427
